Borehole,NAPL level (mbgl),Water Level (mbgl),Easting,Northing,BH Elevation (mamsl)
S17,1.57,2.38,40.5633,56.31410000001779,38.8255
S5,1.27,2.9,42.2867,47.0512999999919,38.78
